"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"ARRB1","[18F]FLUOROETHYLFLUMAZENIL","iuphar.ligand:4368",0.212210563247502,"","GuideToPharmacology","[18F]FLUOROETHYLFLUMAZENIL|iuphar.ligand:4368"
"ARRB1","[3H]CGS8216","iuphar.ligand:4366",0.212210563247502,"","GuideToPharmacology","[3H]CGS8216|iuphar.ligand:4366"
"ARRB1","TETRAHYDRODEOXYCORTICOSTERONE","iuphar.ligand:4321",0.212210563247502,"","GuideToPharmacology","TETRAHYDRODEOXYCORTICOSTERONE|iuphar.ligand:4321"
"ARRB1","[35S]TBPS","iuphar.ligand:4369",0.212210563247502,"","GuideToPharmacology","[35S]TBPS|iuphar.ligand:4369"
"ARRB1","BICUCULLINE","iuphar.ligand:2312",0.181894768497859,"","GuideToPharmacology","BICUCULLINE|iuphar.ligand:2312"
"ARRB1","BRETAZENIL","ncit:C72111",0.212210563247502,"","GuideToPharmacology","BRETAZENIL|ncit:C72111"
"ARRB1","FLUMAZENIL","rxcui:4457",0.0530526408118755,"","GuideToPharmacology","FLUMAZENIL|rxcui:4457"
"ARRB1","ISOGUVACINE","iuphar.ligand:4226",0.141473708831668,"","GuideToPharmacology","ISOGUVACINE|iuphar.ligand:4226"
"ARRB1","TP003","iuphar.ligand:4326",0.318315844871253,"","GuideToPharmacology","TP003|iuphar.ligand:4326"
"ARRB1","TRIAZOLAM","rxcui:10767",0.0385837387722731,"","GuideToPharmacology","TRIAZOLAM|rxcui:10767"
"ARRB1","ZK93423","iuphar.ligand:4346",0.318315844871253,"","GuideToPharmacology","ZK93423|iuphar.ligand:4346"
"ARRB1","COMPOUND 20 [PMID: 35584373]","iuphar.ligand:12118",1.27326337948501,"","GuideToPharmacology","COMPOUND 20 [PMID: 35584373]|iuphar.ligand:12118"
"ARRB1","PICROTOXIN","drugbank:DB00466",0.0553592773689136,"","GuideToPharmacology","PICROTOXIN|drugbank:DB00466"
"ARRB1","L655708","iuphar.ligand:4238",1.27326337948501,"","GuideToPharmacology","L655708|iuphar.ligand:4238"
"ARRB1","ZN2+","iuphar.ligand:566",0.0578756081584097,"","GuideToPharmacology","ZN2+|iuphar.ligand:566"
"ARRB1","MRK016","iuphar.ligand:4257",0.318315844871253,"","GuideToPharmacology","MRK016|iuphar.ligand:4257"
"ARRB1","ISONIPECOTIC ACID","iuphar.ligand:4227",0.106105281623751,"","GuideToPharmacology","ISONIPECOTIC ACID|iuphar.ligand:4227"
"ARRB1","RO19-4603","iuphar.ligand:4297",0.159157922435627,"","GuideToPharmacology","RO19-4603|iuphar.ligand:4297"
"ARRB1","&ALPHA;5IA","iuphar.ligand:4095",0.318315844871253,"","GuideToPharmacology","&ALPHA;5IA|iuphar.ligand:4095"
"ARRB1","[3H]MUSCIMOL","iuphar.ligand:4090",0.141473708831668,"","GuideToPharmacology","[3H]MUSCIMOL|iuphar.ligand:4090"
"ARRB1","GABOXADOL","ncit:C72791",0.0553592773689136,"","GuideToPharmacology","GABOXADOL|ncit:C72791"
"ARRB1","BREXANOLONE","rxcui:2121777",0.0606315894992863,"","GuideToPharmacology","BREXANOLONE|rxcui:2121777"
"ARRB1","RO4938581","iuphar.ligand:4299",0.318315844871253,"","GuideToPharmacology","RO4938581|iuphar.ligand:4299"
"ARRB1","CGS8216","iuphar.ligand:4156",0.254652675897003,"","GuideToPharmacology","CGS8216|iuphar.ligand:4156"
"ARRB1","RO15-4513","iuphar.ligand:4296",0.212210563247502,"","GuideToPharmacology","RO15-4513|iuphar.ligand:4296"
"ARRB1","OCINAPLON","ncit:C81614",0.0578756081584097,"","GuideToPharmacology","OCINAPLON|ncit:C81614"
"ARRB1","BASMISANIL","ncit:C167009",0.636631689742507,"","GuideToPharmacology","BASMISANIL|ncit:C167009"
"ARRB1","FLUNITRAZEPAM","rxcui:4460",0.0578756081584097,"","GuideToPharmacology","FLUNITRAZEPAM|rxcui:4460"
"ARRB1","&ALPHA;3IA","iuphar.ligand:4094",0.318315844871253,"","GuideToPharmacology","&ALPHA;3IA|iuphar.ligand:4094"
"ARRB1","L838417","iuphar.ligand:4241",0.318315844871253,"","GuideToPharmacology","L838417|iuphar.ligand:4241"
"ARRB1","ZK93426","iuphar.ligand:4347",0.318315844871253,"","GuideToPharmacology","ZK93426|iuphar.ligand:4347"
"ARRB1","ONO-8590580","iuphar.ligand:9908",1.27326337948501,"","GuideToPharmacology","ONO-8590580|iuphar.ligand:9908"
"EIF5","URMC-099","iuphar.ligand:8106",5.80042206209839,"","GuideToPharmacology","URMC-099|iuphar.ligand:8106"
"CALR","TRETINOIN","rxcui:10753",0.143417029007927,"","NCI","TRETINOIN|rxcui:10753"
"CALR","PEGINTERFERON ALFA-2A","rxcui:120608",0.225016373098645,"","CIViC","PEGINTERFERON ALFA-2A|rxcui:120608"
"CALR","ANGIOGENESIS INHIBITOR","ncit:C1742",1.08757913664345,"","NCI","ANGIOGENESIS INHIBITOR|ncit:C1742"
"CALR","OLTIPRAZ","ncit:C1177",3.26273740993034,"","NCI","OLTIPRAZ|ncit:C1177"
"CALR","VACCINIA VACCINE","ncit:C2313",13.0509496397214,"","NCI","VACCINIA VACCINE|ncit:C2313"
"CALR","GENTAMICIN","rxcui:1596450",0.567432593031365,"","NCI","GENTAMICIN|rxcui:1596450"
"CALR","THERAPEUTIC GLUCOCORTICOID","ncit:C521",0.575777189987708,"","NCI","THERAPEUTIC GLUCOCORTICOID|ncit:C521"
"CALR","RETINOIC ACID AGENT","ncit:C804",0.420998375474883,"","NCI","RETINOIC ACID AGENT|ncit:C804"
"FGF12","COMPOUND 20 [PMID: 30998356]","iuphar.ligand:10371",2.9002110310492,"","GuideToPharmacology","COMPOUND 20 [PMID: 30998356]|iuphar.ligand:10371"
"FGF12","CERITINIB","rxcui:1535457",1.53540583996722,"","GuideToPharmacology","CERITINIB|rxcui:1535457"
"CD247","AZACITIDINE","rxcui:1251",0.870063309314759,"","NCI","AZACITIDINE|rxcui:1251"
"CD247","BLINATUMOMAB","rxcui:1597258",1.74012661862952,"","TdgClinicalTrial","BLINATUMOMAB|rxcui:1597258"
"CD247","MUROMONAB-CD3","rxcui:42405",2.48589516947074,"","TdgClinicalTrial","MUROMONAB-CD3|rxcui:42405"
"CRP","JNJ1661010","iuphar.ligand:5206",1.08757913664345,"","GuideToPharmacology","JNJ1661010|iuphar.ligand:5206"
"CRP","ADALIMUMAB","rxcui:327361",0.3954833224158,"","PharmGKB","ADALIMUMAB|rxcui:327361"
