"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"ACRV1","COMPOUND 70 [PMID: 26161824]","iuphar.ligand:8706",1.30509496397214,"","GuideToPharmacology","COMPOUND 70 [PMID: 26161824]|iuphar.ligand:8706"
"ACRV1","GAT211","iuphar.ligand:10272",1.30509496397214,"","GuideToPharmacology","GAT211|iuphar.ligand:10272"
"ACRV1","JD5037","iuphar.ligand:10690",0.652547481986069,"","GuideToPharmacology","JD5037|iuphar.ligand:10690"
"ACRV1","LY320135","iuphar.ligand:742",0.652547481986069,"","GuideToPharmacology","LY320135|iuphar.ligand:742"
"CA12","FERULIC ACID","rxcui:1368647",0.745768550841222,"","TTD","FERULIC ACID|rxcui:1368647"
"CA12","ETHOXZOLAMIDE","ncit:C65561",0.745768550841222,"","ChEMBL;DTC","ETHOXZOLAMIDE|ncit:C65561"
"CA12","TRIFLUOROMETHANESULFONAMIDE","chembl:CHEMBL67511",7.45768550841222,"","DTC","TRIFLUOROMETHANESULFONAMIDE|chembl:CHEMBL67511"
"CA12","CELECOXIB","rxcui:140587",0.111308738931526,"","PharmGKB","CELECOXIB|rxcui:140587"
"CA12","ACETAZOLAMIDE","rxcui:167",0.799037733044166,"","ChEMBL;TdgClinicalTrial;TEND","ACETAZOLAMIDE|rxcui:167"
"CA12","MAFENIDE","rxcui:6572",0.932210688551527,"","TTD","MAFENIDE|rxcui:6572"
"CA12","ZONISAMIDE","rxcui:39998",0.298307420336489,"","PharmGKB","ZONISAMIDE|rxcui:39998"
"CA12","SULTHIAME","rxcui:10240",0.310736896183842,"","ChEMBL","SULTHIAME|rxcui:10240"
"CA12","CURCUMIN","rxcui:2955",0.0564976174879714,"","TTD","CURCUMIN|rxcui:2955"
"CA12","PHENOL","rxcui:33290",0.932210688551527,"","TTD","PHENOL|rxcui:33290"
"CA12","DICHLORPHENAMIDE","rxcui:3353",0.745768550841222,"","ChEMBL","DICHLORPHENAMIDE|rxcui:3353"
"CA12","ACETAZOLAMIDE SODIUM","rxcui:91406",0.932210688551527,"","ChEMBL","ACETAZOLAMIDE SODIUM|rxcui:91406"
"CA12","TOPIRAMATE","rxcui:38404",0.169492852463914,"","PharmGKB","TOPIRAMATE|rxcui:38404"
"CA12","PARABEN","chembl:CHEMBL441343",0.932210688551527,"","TTD","PARABEN|chembl:CHEMBL441343"
"B4GALT2","ASPIRIN","rxcui:1191",0.87983930155425,"","PharmGKB","ASPIRIN|rxcui:1191"
"B4GALT2","CLOPIDOGREL","rxcui:32968",2.98307420336489,"","PharmGKB","CLOPIDOGREL|rxcui:32968"
"GPC5","AMG28","iuphar.ligand:12186",5.80042206209839,"","GuideToPharmacology","AMG28|iuphar.ligand:12186"
"GRB14","INSULIN, REGULAR, HUMAN","rxcui:253182",0.656651554199818,"","NCI","INSULIN, REGULAR, HUMAN|rxcui:253182"
"GRB14","PERENOSTOBART","ncit:C171450",17.4012661862952,"","GuideToPharmacology","PERENOSTOBART|ncit:C171450"
"GRB14","PSB-0963","iuphar.ligand:9023",17.4012661862952,"","GuideToPharmacology","PSB-0963|iuphar.ligand:9023"
"FABP1","FENOFIBRIC ACID","rxcui:24852",0.767702919983611,"","TTD","FENOFIBRIC ACID|rxcui:24852"
"FABP1","DEXAMETHASONE","rxcui:3264",0.108381588703568,"","NCI","DEXAMETHASONE|rxcui:3264"
"FABP1","GSK579289A","iuphar.ligand:8150",1.53540583996722,"","GuideToPharmacology","GSK579289A|iuphar.ligand:8150"
"FABP1","GW853606","iuphar.ligand:8645",3.07081167993444,"","GuideToPharmacology","GW853606|iuphar.ligand:8645"
"FABP1","COMPOUND 6 [PMID: 30125504]","iuphar.ligand:10073",1.53540583996722,"","GuideToPharmacology","COMPOUND 6 [PMID: 30125504]|iuphar.ligand:10073"
"FABP1","MLN0905","iuphar.ligand:9402",3.07081167993444,"","GuideToPharmacology","MLN0905|iuphar.ligand:9402"
"FABP1","CLOFIBRATE","rxcui:2594",0.383851459991805,"","NCI","CLOFIBRATE|rxcui:2594"
"FABP1","GSK-461364A","iuphar.ligand:5684",1.53540583996722,"","GuideToPharmacology","GSK-461364A|iuphar.ligand:5684"
"FABP1","COMPOUND 2 [PMID: 19097784]","iuphar.ligand:8646",3.07081167993444,"","GuideToPharmacology","COMPOUND 2 [PMID: 19097784]|iuphar.ligand:8646"
"FABP1","XY-06-007","iuphar.ligand:12141",1.53540583996722,"","GuideToPharmacology","XY-06-007|iuphar.ligand:12141"
"FABP1","DUAL BRD4/PLK1 INHIBITOR 23","iuphar.ligand:10072",1.53540583996722,"","GuideToPharmacology","DUAL BRD4/PLK1 INHIBITOR 23|iuphar.ligand:10072"
"FABP1","VOLASERTIB","ncit:C79844",0.614162335986889,"","GuideToPharmacology","VOLASERTIB|ncit:C79844"
"FABP1","BI-2536","iuphar.ligand:5666",0.438687382847778,"","GuideToPharmacology","BI-2536|iuphar.ligand:5666"
"FABP1","WNY0824","iuphar.ligand:12143",0.614162335986889,"","GuideToPharmacology","WNY0824|iuphar.ligand:12143"
"FABP1","RO3280","iuphar.ligand:9403",0.614162335986889,"","GuideToPharmacology","RO3280|iuphar.ligand:9403"
"FABP1","PLOGOSERTIB","ncit:C162375",3.07081167993444,"","GuideToPharmacology","PLOGOSERTIB|ncit:C162375"
"FABP1","ONVANSERTIB","ncit:C143162",0.51180194665574,"","GuideToPharmacology","ONVANSERTIB|ncit:C143162"
"ARRB1","EBSELEN","ncit:C65503",0.0363789536995718,"","DTC","EBSELEN|ncit:C65503"
"ARRB1","RY024","iuphar.ligand:4301",1.27326337948501,"","GuideToPharmacology","RY024|iuphar.ligand:4301"
"ARRB1","TPA023","iuphar.ligand:4327",0.318315844871253,"","GuideToPharmacology","TPA023|iuphar.ligand:4327"
"ARRB1","PIPERIDINE-4-SULPHONIC ACID","iuphar.ligand:4287",0.141473708831668,"","GuideToPharmacology","PIPERIDINE-4-SULPHONIC ACID|iuphar.ligand:4287"
"ARRB1","DMCM","iuphar.ligand:4179",0.318315844871253,"","GuideToPharmacology","DMCM|iuphar.ligand:4179"
"ARRB1","[3H]L655708","iuphar.ligand:4363",1.27326337948501,"","GuideToPharmacology","[3H]L655708|iuphar.ligand:4363"
"ARRB1","ALPRAZOLAM","rxcui:596",0.0374489229260298,"","GuideToPharmacology","ALPRAZOLAM|rxcui:596"
"ARRB1","TBPS","iuphar.ligand:4320",0.0670138620781586,"","GuideToPharmacology","TBPS|iuphar.ligand:4320"
